Date,Close
1/10/2022 16:00:00,2771.48
1/11/2022 16:00:00,2800.35
1/12/2022 16:00:00,2832.96
1/13/2022 16:00:00,2782.62
1/14/2022 16:00:00,2795.73
1/18/2022 16:00:00,2725.81
1/19/2022 16:00:00,2713.04
1/20/2022 16:00:00,2670.13
1/21/2022 16:00:00,2601.84
1/24/2022 16:00:00,2607.44
1/25/2022 16:00:00,2534.71
1/26/2022 16:00:00,2584.8
1/27/2022 16:00:00,2582.42
1/28/2022 16:00:00,2665.79
1/31/2022 16:00:00,2713.97
2/1/2022 16:00:00,2757.57
2/2/2022 16:00:00,2960.73
2/3/2022 16:00:00,2853.01
2/4/2022 16:00:00,2860.32
2/7/2022 16:00:00,2778.76
2/8/2022 16:00:00,2784.26
2/9/2022 16:00:00,2829.06
2/10/2022 16:00:00,2772.05
2/11/2022 16:00:00,2682.6
2/14/2022 16:00:00,2706
2/15/2022 16:00:00,2728.51
2/16/2022 16:00:00,2749.75
2/17/2022 16:00:00,2646.17
2/18/2022 16:00:00,2609.35
2/22/2022 16:00:00,2588.05
2/23/2022 16:00:00,2551.7
2/24/2022 16:00:00,2653.47
2/25/2022 16:00:00,2690.39
2/28/2022 16:00:00,2697.82
3/1/2022 16:00:00,2683.36
3/2/2022 16:00:00,2695.03
3/3/2022 16:00:00,2686.16
3/4/2022 16:00:00,2642.44
3/7/2022 16:00:00,2529.29
3/8/2022 16:00:00,2545.57
3/9/2022 16:00:00,2677.32
3/10/2022 16:00:00,2653.64
3/11/2022 16:00:00,2609.51
3/14/2022 16:00:00,2534.82
3/15/2022 16:00:00,2593.21
3/16/2022 16:00:00,2673.81
3/17/2022 16:00:00,2692.01
3/18/2022 16:00:00,2736.03
3/21/2022 16:00:00,2729.57
3/22/2022 16:00:00,2805.55
3/23/2022 16:00:00,2770.07
3/24/2022 16:00:00,2826.24
3/25/2022 16:00:00,2830.43
3/28/2022 16:00:00,2839
3/29/2022 16:00:00,2865
3/30/2022 16:00:00,2852.89
3/31/2022 16:00:00,2792.99
4/1/2022 16:00:00,2814
4/4/2022 16:00:00,2872.85
4/5/2022 16:00:00,2821.26
4/6/2022 16:00:00,2743.52
4/7/2022 16:00:00,2729.3
4/8/2022 16:00:00,2680.21
4/11/2022 16:00:00,2595.93
4/12/2022 16:00:00,2567.49
4/13/2022 16:00:00,2605.72
4/14/2022 16:00:00,2545.06
4/18/2022 16:00:00,2559.22
4/19/2022 16:00:00,2610.62
4/20/2022 16:00:00,2564.91
4/21/2022 16:00:00,2498.75
4/22/2022 16:00:00,2392.28
4/25/2022 16:00:00,2465
4/26/2022 16:00:00,2390.12
4/27/2022 16:00:00,2300.41
4/28/2022 16:00:00,2388.23
4/29/2022 16:00:00,2299.33
5/2/2022 16:00:00,2343.14
5/3/2022 16:00:00,2362.59
5/4/2022 16:00:00,2451.5
5/5/2022 16:00:00,2334.93
5/6/2022 16:00:00,2313.2
5/9/2022 16:00:00,2261.68
5/10/2022 16:00:00,2291.69
5/11/2022 16:00:00,2279.22
5/12/2022 16:00:00,2263.22
5/13/2022 16:00:00,2330.31
5/16/2022 16:00:00,2295.85
5/17/2022 16:00:00,2334.03
5/18/2022 16:00:00,2248.02
5/19/2022 16:00:00,2214.91
5/20/2022 16:00:00,2186.26
5/23/2022 16:00:00,2233.33
5/24/2022 16:00:00,2118.52
5/25/2022 16:00:00,2116.79
5/26/2022 16:00:00,2165.92
